Date,Adj Close
16.04.2008,48.84
17.04.2008,48.96
18.04.2008,49.79
21.04.2008,50.11
22.04.2008,49.84
23.04.2008,50.13
24.04.2008,50.89
25.04.2008,50.96
28.04.2008,50.89
29.04.2008,51.42
30.04.2008,50.89
01.05.2008,52.03
02.05.2008,52.06
05.05.2008,51.99
06.05.2008,51.66
07.05.2008,50.72
08.05.2008,51.05
09.05.2008,50.6
12.05.2008,51.99
13.05.2008,52.24
14.05.2008,51.62
15.05.2008,51.98
16.05.2008,51.7
19.05.2008,51.63
20.05.2008,50.97
21.05.2008,50.2
22.05.2008,49.99
23.05.2008,49.31
27.05.2008,49.63
28.05.2008,50.13
29.05.2008,50.8
30.05.2008,50.66
02.06.2008,50.01
03.06.2008,49.16
04.06.2008,49.52
05.06.2008,49.9
06.06.2008,48.96
09.06.2008,50.99
10.06.2008,51.38
11.06.2008,50.5
12.06.2008,51.01
13.06.2008,51.54
16.06.2008,51.53
17.06.2008,50.9
18.06.2008,50.04
19.06.2008,50.37
20.06.2008,49.34
23.06.2008,49.01
24.06.2008,49.02
25.06.2008,49.9
26.06.2008,48.53
27.06.2008,48.57
30.06.2008,48.33
01.07.2008,49.25
02.07.2008,49.37
03.07.2008,49.16
07.07.2008,49.31
08.07.2008,50.31
09.07.2008,50.93
10.07.2008,50.24
11.07.2008,49.27
14.07.2008,49.94
15.07.2008,50.34
16.07.2008,51.72
17.07.2008,51.9
18.07.2008,51.96
21.07.2008,51.36
22.07.2008,51.68
23.07.2008,51.29
24.07.2008,50.18
25.07.2008,50.42
28.07.2008,49.68
29.07.2008,51.32
30.07.2008,51.97
31.07.2008,51.4
01.08.2008,51.38
04.08.2008,52.05
05.08.2008,53.58
06.08.2008,53.42
07.08.2008,53.18
08.08.2008,56.45
11.08.2008,56.69
12.08.2008,54.97
13.08.2008,53.97
14.08.2008,54.67
15.08.2008,54.7
18.08.2008,54.41
19.08.2008,53.69
20.08.2008,53.67
21.08.2008,53.56
22.08.2008,54.52
25.08.2008,53.37
26.08.2008,53.41
27.08.2008,53.37
28.08.2008,54.39
29.08.2008,53.62
02.09.2008,54.41
03.09.2008,53.38
04.09.2008,51.91
05.09.2008,52.15
08.09.2008,53.98
09.09.2008,54.65
10.09.2008,54.66
11.09.2008,55.84
12.09.2008,55.4
15.09.2008,55.11
16.09.2008,55.6
17.09.2008,54.07
18.09.2008,55.32
19.09.2008,55.33
22.09.2008,54.11
23.09.2008,53.43
24.09.2008,53.13
25.09.2008,53.85
26.09.2008,54.66
